"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"1",10101,"Carmen",101,"San José","San José",11
"2",10102,"Merced",101,"San José","San José",11
"3",10103,"Hospital",101,"San José","San José",11
"4",10104,"Catedral",101,"San José","San José",11
"5",10105,"Zapote",101,"San José","San José",11
"6",10106,"San Francisco de Dos Ríos",101,"San José","San José",11
"7",10107,"Uruca",101,"San José","San José",11
"8",10108,"Mata Redonda",101,"San José","San José",11
"9",10109,"Pavas",101,"San José","San José",11
"10",10110,"Hatillo",101,"San José","San José",11
"11",10111,"San Sebastián",101,"San José","San José",11
"12",10201,"Escazú",102,"Escazú","San José",11
"13",10202,"San Antonio",102,"Escazú","San José",11
"14",10203,"San Rafael",102,"Escazú","San José",11
"15",10301,"Desamparados",103,"Desamparados","San José",11
"16",10302,"San Miguel",103,"Desamparados","San José",11
"17",10303,"San Juan de Dios",103,"Desamparados","San José",11
"18",10304,"San Rafael Arriba",103,"Desamparados","San José",11
"19",10305,"San Antonio",103,"Desamparados","San José",11
"20",10306,"Frailes",103,"Desamparados","San José",11
"21",10307,"Patarrá",103,"Desamparados","San José",11
"22",10308,"San Cristóbal",103,"Desamparados","San José",11
"23",10309,"Rosario",103,"Desamparados","San José",11
"24",10310,"Damas",103,"Desamparados","San José",11
"25",10311,"San Rafael Abajo",103,"Desamparados","San José",11
"26",10312,"Gravilias",103,"Desamparados","San José",11
"27",10313,"Los Guido",103,"Desamparados","San José",11
"28",10401,"Santiago",104,"Puriscal","San José",11
"29",10402,"Mercedes Sur",104,"Puriscal","San José",11
"30",10403,"Barbacoas",104,"Puriscal","San José",11
"31",10404,"Grifo Alto",104,"Puriscal","San José",11
"32",10405,"San Rafael",104,"Puriscal","San José",11
"33",10406,"Candelarita",104,"Puriscal","San José",11
"34",10407,"Desamparaditos",104,"Puriscal","San José",11
"35",10408,"San Antonio",104,"Puriscal","San José",11
"36",10409,"Chires",104,"Puriscal","San José",11
"37",10501,"San Marcos",105,"Tarrazú","San José",11
"38",10502,"San Lorenzo",105,"Tarrazú","San José",11
"39",10503,"San Carlos",105,"Tarrazú","San José",11
"40",10601,"Aserrí",106,"Aserrí","San José",11
"41",10602,"Tarbaca",106,"Aserrí","San José",11
"42",10603,"Vuelta de Jorco",106,"Aserrí","San José",11
"43",10604,"San Gabriel",106,"Aserrí","San José",11
"44",10605,"Legua",106,"Aserrí","San José",11
"45",10606,"Monterrey",106,"Aserrí","San José",11
"46",10607,"Salitrillos",106,"Aserrí","San José",11
"47",10701,"Colón",107,"Mora","San José",11
"48",10702,"Guayabo",107,"Mora","San José",11
"49",10703,"Tabarcia",107,"Mora","San José",11
"50",10704,"Piedras Negras",107,"Mora","San José",11
"51",10705,"Picagres",107,"Mora","San José",11
"52",10706,"Jaris",107,"Mora","San José",11
"53",10707,"Quitirrisí",107,"Mora","San José",9
"54",10801,"Guadalupe",108,"Goicoechea","San José",11
"55",10802,"San Francisco",108,"Goicoechea","San José",11
"56",10803,"Calle Blancos",108,"Goicoechea","San José",11
"57",10804,"Mata de Plátano",108,"Goicoechea","San José",11
"58",10805,"Ipís",108,"Goicoechea","San José",11
"59",10806,"Rancho Redondo",108,"Goicoechea","San José",11
"60",10807,"Purral",108,"Goicoechea","San José",11
"61",10901,"Santa Ana",109,"Santa Ana","San José",11
"62",10902,"Salitral",109,"Santa Ana","San José",11
"63",10903,"Pozos",109,"Santa Ana","San José",11
"64",10904,"Uruca",109,"Santa Ana","San José",11
"65",10905,"Piedades",109,"Santa Ana","San José",11
"66",10906,"Brasil",109,"Santa Ana","San José",11
"67",11001,"Alajuelita",110,"Alajuelita","San José",11
"68",11002,"San Josecito",110,"Alajuelita","San José",11
"69",11003,"San Antonio",110,"Alajuelita","San José",11
"70",11004,"Concepción",110,"Alajuelita","San José",11
"71",11005,"San Felipe",110,"Alajuelita","San José",11
"72",11101,"San Isidro",111,"Vázquez de Coronado","San José",11
"73",11102,"San Rafael",111,"Vázquez de Coronado","San José",11
"74",11103,"Dulce Nombre de Jesús",111,"Vázquez de Coronado","San José",11
"75",11104,"Patalillo",111,"Vázquez de Coronado","San José",11
"76",11105,"Cascajal",111,"Vázquez de Coronado","San José",11
"77",11201,"San Ignacio",112,"Acosta","San José",11
"78",11202,"Guaitil",112,"Acosta","San José",11
"79",11203,"Palmichal",112,"Acosta","San José",11
"80",11204,"Cangrejal",112,"Acosta","San José",11
"81",11205,"Sabanillas",112,"Acosta","San José",11
"82",11301,"San Juan",113,"Tibás","San José",11
"83",11302,"Cinco Esquinas",113,"Tibás","San José",11
