"","effect","group","term","estimate","std.error","statistic","conf.low","conf.high","cod_canton"
"1","fixed","cantón","(Intercept)",706.951993614573,58.1961047381328,12.1477545068638,592.889724287312,821.014262941834,NA
"2","fixed","cantón","102-Escazú",-185.236089978049,125.717954821476,-1.47342589402675,-431.638753638176,61.1665736820787,102
"3","fixed","cantón","103-Desamparados",-293.616430045988,79.0729354458964,-3.71323548810056,-448.596535671805,-138.63632442017,103
"4","fixed","cantón","104-Puriscal",-306.227951959657,86.7536308133137,-3.52985747211702,-476.261943881836,-136.193960037478,104
"5","fixed","cantón","105-Tarrazú",-389.950616321039,125.717954821476,-3.10178937348115,-636.353279981167,-143.547952660912,105
"6","fixed","cantón","106-Aserrí",-261.440811812796,93.3213793605204,-2.80151036776679,-444.347354347016,-78.5342692785764,106
"7","fixed","cantón","107-Mora",-352.786731343423,94.0383835816871,-3.75151845349376,-537.098576327893,-168.474886358954,107
"8","fixed","cantón","108-Goicoechea",-300.056034503721,93.3213793605204,-3.21529789379281,-482.962577037941,-117.149491969502,108
"9","fixed","cantón","109-Santa Ana",-390.492213225777,97.9586411991982,-3.98629675182727,-582.487621950687,-198.496804500867,109
"10","fixed","cantón","110-Alajuelita",-357.985868994016,104.104356975938,-3.43872129268094,-562.026659300556,-153.945078687477,110
"11","fixed","cantón","111-Vázquez de Coronado",-300.035627368979,104.104356975938,-2.88206599689509,-504.076417675519,-95.9948370624393,111
"12","fixed","cantón","112-Acosta",-308.724763583191,104.104356975938,-2.96553163144313,-512.765553889731,-104.683973276651,112
"13","fixed","cantón","113-Tibás",-177.147530420239,104.104356975938,-1.70163416369964,-381.188320726779,26.8932598863005,113
"14","fixed","cantón","114-Moravia",-325.219697340207,125.717954821477,-2.5868993637546,-571.622361000334,-78.8170336800792,114
"15","fixed","cantón","115-Montes de Oca",-332.682876718158,112.696272232244,-2.95203088911909,-553.563511485277,-111.802241951038,115
"16","fixed","cantón","116-Turrubares",-471.346877248484,104.104356975938,-4.52763833273018,-675.387667555024,-267.306086941944,116
