"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"1","ran_vals","distrito_nombre2","10101-Carmen","(Intercept)",1605.2198300682,53.1339907938798,1501.07912175731,1709.36053837909
"2","ran_vals","distrito_nombre2","10102-Merced","(Intercept)",-144.840292224214,53.1339907938798,-248.981000535102,-40.6995839133273
"3","ran_vals","distrito_nombre2","10103-Hospital","(Intercept)",-49.3466819840056,53.1339907938798,-153.487390294893,54.7940263268815
"4","ran_vals","distrito_nombre2","10104-Catedral","(Intercept)",60.152860216385,53.1339907938798,-43.9878480945022,164.293568527272
"5","ran_vals","distrito_nombre2","10105-Zapote","(Intercept)",-130.390619401534,53.1339907938798,-234.531327712421,-26.2499110906468
"6","ran_vals","distrito_nombre2","10106-San Francisco de Dos Ríos","(Intercept)",-204.157678586381,53.1339907938798,-308.298386897268,-100.016970275493
"7","ran_vals","distrito_nombre2","10107-Uruca","(Intercept)",-369.721178693238,53.1339907938798,-473.861887004125,-265.580470382351
"8","ran_vals","distrito_nombre2","10108-Mata Redonda","(Intercept)",-90.9110909825603,53.1339907938798,-195.051799293447,13.2296173283269
"9","ran_vals","distrito_nombre2","10109-Pavas","(Intercept)",-290.755220064337,53.1339907938798,-394.895928375225,-186.61451175345
"10","ran_vals","distrito_nombre2","10110-Hatillo","(Intercept)",-176.464024965526,53.1339907938798,-280.604733276414,-72.3233166546392
"11","ran_vals","distrito_nombre2","10111-San Sebastián","(Intercept)",-208.785903387933,53.1339907938798,-312.92661169882,-104.645195077045
"12","ran_vals","distrito_nombre2","10201-Escazú","(Intercept)",200.090743937973,53.1339907938798,95.9500356270858,304.23145224886
"13","ran_vals","distrito_nombre2","10202-San Antonio","(Intercept)",-155.670999013031,53.1339907938798,-259.811707323919,-51.5302907021442
"14","ran_vals","distrito_nombre2","10203-San Rafael","(Intercept)",-44.419744924943,53.1339907938798,-148.56045323583,59.7209633859442
"15","ran_vals","distrito_nombre2","10301-Desamparados","(Intercept)",261.319857717995,53.1339907938798,157.179149407108,365.460566028882
"16","ran_vals","distrito_nombre2","10302-San Miguel","(Intercept)",39.4302033186491,53.1339907938798,-64.7105049922381,143.570911629536
"17","ran_vals","distrito_nombre2","10303-San Juan de Dios","(Intercept)",-69.4494446877624,53.1339907938798,-173.59015299865,34.6912636231248
"18","ran_vals","distrito_nombre2","10304-San Rafael Arriba","(Intercept)",47.9628851105911,53.1339907938798,-56.1778232002961,152.103593421478
"19","ran_vals","distrito_nombre2","10305-San Antonio","(Intercept)",91.6435024953692,53.1339907938798,-12.497205815518,195.784210806256
"20","ran_vals","distrito_nombre2","10306-Frailes","(Intercept)",3.21943460598498,53.1339907938798,-100.921273704902,107.360142916872
"21","ran_vals","distrito_nombre2","10307-Patarrá","(Intercept)",-46.7528923697718,53.1339907938798,-150.893600680659,57.3878159411154
"22","ran_vals","distrito_nombre2","10308-San Cristóbal","(Intercept)",-50.5521269988744,53.1339907938798,-154.692835309762,53.5885813120128
"23","ran_vals","distrito_nombre2","10309-Rosario","(Intercept)",-46.9491535159096,53.1339907938798,-151.089861826797,57.1915547949776
"24","ran_vals","distrito_nombre2","10310-Damas","(Intercept)",-72.178666007357,53.1339907938798,-176.319374318244,31.9620423035302
"25","ran_vals","distrito_nombre2","10311-San Rafael Abajo","(Intercept)",-55.9229416326757,53.1339907938798,-160.063649943563,48.2177666782115
"26","ran_vals","distrito_nombre2","10312-Gravilias","(Intercept)",40.1056157214347,53.1339907938798,-64.0350925894524,144.246324032322
"27","ran_vals","distrito_nombre2","10313-Los Guido","(Intercept)",-141.876273757671,53.1339907938798,-246.016982068558,-37.735565446784
"28","ran_vals","distrito_nombre2","10401-Santiago","(Intercept)",79.4104061431678,53.1339907938798,-24.7303021677194,183.551114454055
"29","ran_vals","distrito_nombre2","10402-Mercedes Sur","(Intercept)",-49.626694100421,53.1339907938798,-153.767402411308,54.5140142104661
"30","ran_vals","distrito_nombre2","10403-Barbacoas","(Intercept)",79.8665074230081,53.1339907938798,-24.2742008878791,184.007215733895
"31","ran_vals","distrito_nombre2","10404-Grifo Alto","(Intercept)",-10.9669338122919,53.1339907938798,-115.107642123179,93.1737744985952
"32","ran_vals","distrito_nombre2","10405-San Rafael","(Intercept)",-25.0000053594908,53.1339907938798,-129.140713670378,79.1407029513963
"33","ran_vals","distrito_nombre2","10406-Candelarita","(Intercept)",164.578755988084,53.1339907938798,60.4380476771968,268.719464298971
"34","ran_vals","distrito_nombre2","10407-Desamparaditos","(Intercept)",-77.9840521256853,53.1339907938798,-182.124760436572,26.1566561852019
"35","ran_vals","distrito_nombre2","10408-San Antonio","(Intercept)",-26.7766088597056,53.1339907938798,-130.917317170593,77.3640994511816
"36","ran_vals","distrito_nombre2","10409-Chires","(Intercept)",-133.501375296636,53.1339907938798,-237.642083607523,-29.3606669857491
"37","ran_vals","distrito_nombre2","10501-San Marcos","(Intercept)",87.6943165013764,53.1339907938798,-16.4463918095108,191.835024812264
