cod_provincia,provincia_nombre,cod_canton,canton_nombre,area_km2
1,San José,101,San José,44.62
1,San José,102,Escazú,34.53
1,San José,103,Desamparados,118.91
1,San José,104,Puriscal,555.02
1,San José,105,Tarrazú,291.27
1,San José,106,Aserrí,168.26
1,San José,107,Mora,163.47
1,San José,108,Goicoechea,31.7
1,San José,109,Santa Ana,61.42
1,San José,110,Alajuelita,21.47
1,San José,111,Vázquez de Coronado,223.93
1,San José,112,Acosta,342.56
1,San José,113,Tibás,8.27
1,San José,114,Moravia,28.82
1,San José,115,Montes de Oca,15.78
1,San José,116,Turrubares,416.25
1,San José,117,Dota,404.44
1,San José,118,Curridabat,16.06
1,San José,119,Pérez Zeledón,1901.08
1,San José,120,León Cortés Castro,121.89
2,Alajuela,201,Alajuela,391.62
2,Alajuela,202,San Ramón,1021.74
2,Alajuela,203,Grecia,142.47
2,Alajuela,204,San Mateo,125.03
2,Alajuela,205,Atenas,126.31
2,Alajuela,206,Naranjo,127.01
2,Alajuela,207,Palmares,38.94
2,Alajuela,208,Poás,74.48
2,Alajuela,209,Orotina,145.11
2,Alajuela,210,San Carlos,3352.15
2,Alajuela,211,Zarcero,157.36
2,Alajuela,212,Sarchí,136.76
2,Alajuela,213,Upala,1592.67
2,Alajuela,214,Los Chiles,1332.71
2,Alajuela,215,Guatuso,752.83
2,Alajuela,216,Río Cuarto,254.89
3,Cartago,301,Cartago,278.63
3,Cartago,302,Paraíso,476.99
3,Cartago,303,La Unión,44.18
3,Cartago,304,Jiménez,250.07
3,Cartago,305,Turrialba,1589.25
3,Cartago,306,Alvarado,79.18
3,Cartago,307,Oreamuno,202.9
3,Cartago,308,El Guarco,172
4,Heredia,401,Heredia,283.11
4,Heredia,402,Barva,56.01
4,Heredia,403,Santo Domingo,25.4
4,Heredia,404,Santa Bárbara,52.1
4,Heredia,405,San Rafael,48.31
4,Heredia,406,San Isidro,26.67
4,Heredia,407,Belén,12.38
4,Heredia,408,Flores,6.75
4,Heredia,409,San Pablo,8.34
4,Heredia,410,Sarapiquí,2144.26
5,Guanacaste,501,Liberia,1442.17
5,Guanacaste,502,Nicoya,1337.57
5,Guanacaste,503,Santa Cruz,1320.81
5,Guanacaste,504,Bagaces,1277.93
5,Guanacaste,505,Carrillo,599.01
5,Guanacaste,506,Cañas,687.05
5,Guanacaste,507,Abangares,646.02
5,Guanacaste,508,Tilarán,669.23
5,Guanacaste,509,Nandayure,568.14
5,Guanacaste,510,La Cruz,1385.4
5,Guanacaste,511,Hojancha,262.99
6,Puntarenas,601,Puntarenas,1786.4
6,Puntarenas,602,Esparza,217.23
6,Puntarenas,603,Buenos Aires,2382.94
6,Puntarenas,604,Montes de Oro,247.59
6,Puntarenas,605,Osa,1932.7
6,Puntarenas,606,Quepos,557.85
6,Puntarenas,607,Golfito,1032.32
6,Puntarenas,608,Coto Brus,944.24
6,Puntarenas,609,Parrita,483.22
6,Puntarenas,610,Corredores,623.61
6,Puntarenas,611,Garabito,316.01
6,Puntarenas,612,Monteverde,53.47
6,Puntarenas,613,Puerto Jiménez,720.43
7,Limón,701,Limón,1769.38
7,Limón,702,Pococí,2188.19
7,Limón,703,Siquirres,855.15
7,Limón,704,Talamanca,2792.23
7,Limón,705,Matina,770.4
7,Limón,706,Guácimo,801.56
