cod_canton,cod_distrito,distrito_nombre,area_km2
101,10101,Carmen,1.49
101,10102,Merced,2.2
101,10103,Hospital,3.32
101,10104,Catedral,2.37
101,10105,Zapote,2.86
101,10106,San Francisco de Dos Ríos,2.64
101,10107,Uruca,8.39
101,10108,Mata Redonda,3.66
101,10109,Pavas,9.35
101,10110,Hatillo,4.37
101,10111,San Sebastián,3.97
102,10201,Escazú,4.53
102,10202,San Antonio,16.96
102,10203,San Rafael,13.04
103,10301,Desamparados,3.32
103,10302,San Miguel,21.36
103,10303,San Juan de Dios,2.85
103,10304,San Rafael Arriba,3.23
103,10305,San Antonio,2.07
103,10306,Frailes,19.67
103,10307,Patarrá,15.88
103,10308,San Cristóbal,25.03
103,10309,Rosario,14.85
103,10310,Damas,2.65
103,10311,San Rafael Abajo,2.02
103,10312,Gravilias,2.94
103,10313,Los Guido,3.06
104,10401,Santiago,34.52
104,10402,Mercedes Sur,181.77
104,10403,Barbacoas,18.62
104,10404,Grifo Alto,26.4
104,10405,San Rafael,15.5
104,10406,Candelarita,26.73
104,10407,Desamparaditos,7.22
104,10408,San Antonio,14.62
104,10409,Chires,229.66
105,10501,San Marcos,46.02
105,10502,San Lorenzo,186.29
105,10503,San Carlos,58.96
106,10601,Aserrí,15.26
106,10602,Tarbaca,15.34
106,10603,Vuelta de Jorco,22.05
106,10604,San Gabriel,11.73
106,10605,Legua,81.26
106,10606,Monterrey,8.28
106,10607,Salitrillos,14.34
107,10701,Colón,39.89
107,10702,Guayabo,9.01
107,10703,Tabarcia,40.43
107,10704,Piedras Negras,14.88
107,10705,Picagres,27.16
107,10706,Jaris,5.49
107,10707,Quitirrisí,26.62
108,10801,Guadalupe,2.39
108,10802,San Francisco,0.58
108,10803,Calle Blancos,2.36
108,10804,Mata de Plátano,7.79
108,10805,Ipís,2.5
108,10806,Rancho Redondo,13.08
108,10807,Purral,3
109,10901,Santa Ana,5.44
109,10902,Salitral,20.29
109,10903,Pozos,13.35
109,10904,Uruca,7.03
109,10905,Piedades,12.07
109,10906,Brasil,3.24
110,11001,Alajuelita,1.27
110,11002,San Josecito,2.37
110,11003,San Antonio,10.26
110,11004,Concepción,2.43
110,11005,San Felipe,5.13
111,11101,San Isidro,5.16
111,11102,San Rafael,16.91
111,11103,Dulce Nombre de Jesús,67.92
111,11104,Patalillo,1.92
