cod_canton,cod_distrito,anho,defunciones_hombres,defunciones_mujeres,defunciones_total
101,10101,2013,46,34,80
101,10102,2013,49,44,93
101,10103,2013,82,77,159
101,10104,2013,82,73,155
101,10105,2013,63,60,123
101,10106,2013,61,69,130
101,10107,2013,77,56,133
101,10108,2013,26,30,56
101,10109,2013,179,169,348
101,10110,2013,167,157,324
101,10111,2013,112,120,232
102,10201,2013,44,41,85
102,10202,2013,51,39,90
102,10203,2013,73,60,133
103,10301,2013,146,117,263
103,10302,2013,83,71,154
103,10303,2013,40,26,66
103,10304,2013,51,35,86
103,10305,2013,33,20,53
103,10306,2013,14,8,22
103,10307,2013,38,21,59
103,10308,2013,6,6,12
103,10309,2013,6,4,10
103,10310,2013,31,16,47
103,10311,2013,52,28,80
103,10312,2013,30,45,75
103,10313,2013,43,32,75
104,10401,2013,46,20,66
104,10402,2013,18,12,30
104,10403,2013,11,9,20
104,10404,2013,3,3,6
104,10405,2013,4,4,8
104,10406,2013,3,6,9
104,10407,2013,2,0,2
104,10408,2013,9,8,17
104,10409,2013,5,7,12
105,10501,2013,25,15,40
105,10502,2013,7,4,11
105,10503,2013,2,1,3
106,10601,2013,75,63,138
106,10602,2013,5,4,9
106,10603,2013,15,9,24
106,10604,2013,9,12,21
106,10605,2013,1,3,4
106,10606,2013,3,1,4
106,10607,2013,15,17,32
107,10701,2013,28,43,71
107,10702,2013,4,16,20
107,10703,2013,10,12,22
107,10704,2013,0,1,1
107,10705,2013,0,1,1
107,10706,2013,4,1,5
108,10801,2013,100,112,212
108,10802,2013,7,5,12
108,10803,2013,35,40,75
108,10804,2013,42,24,66
108,10805,2013,77,59,136
108,10806,2013,6,2,8
108,10807,2013,57,32,89
109,10901,2013,32,28,60
109,10902,2013,6,7,13
109,10903,2013,27,21,48
109,10904,2013,30,17,47
109,10905,2013,17,17,34
109,10906,2013,5,5,10
110,11001,2013,45,26,71
110,11002,2013,23,29,52
110,11003,2013,7,4,11
110,11004,2013,54,30,84
110,11005,2013,47,59,106
111,11101,2013,55,31,86
111,11102,2013,29,19,48
111,11103,2013,26,23,49
111,11104,2013,39,27,66
111,11105,2013,14,2,16
112,11201,2013,37,15,52
112,11202,2013,8,7,15
112,11203,2013,7,3,10
112,11204,2013,7,2,9
112,11205,2013,3,4,7
113,11301,2013,78,76,154
113,11302,2013,34,26,60
113,11303,2013,24,44,68
113,11304,2013,56,34,90
113,11305,2013,27,19,46
114,11401,2013,87,95,182
114,11402,2013,10,7,17
114,11403,2013,48,25,73
115,11501,2013,84,90,174
115,11502,2013,36,40,76
115,11503,2013,7,8,15
115,11504,2013,13,18,31
116,11601,2013,4,7,11
116,11602,2013,0,1,1
116,11603,2013,4,1,5
116,11604,2013,0,0,0
116,11605,2013,1,1,2
117,11701,2013,17,20,37
117,11702,2013,0,1,1
117,11703,2013,3,4,7
118,11801,2013,65,71,136
118,11802,2013,24,18,42
118,11803,2013,9,12,21
118,11804,2013,31,35,66
119,11901,2013,122,96,218
119,11902,2013,22,14,36
119,11903,2013,83,52,135
119,11904,2013,19,12,31
119,11905,2013,16,16,32
119,11906,2013,16,8,24
119,11907,2013,22,12,34
119,11908,2013,18,12,30
119,11909,2013,5,5,10
119,11910,2013,9,6,15
119,11911,2013,10,15,25
120,12001,2013,6,10,16
120,12002,2013,3,1,4
120,12003,2013,4,3,7
120,12004,2013,3,2,5
120,12005,2013,5,4,9
120,12006,2013,0,2,2
201,20101,2013,185,148,333
201,20102,2013,92,83,175
201,20103,2013,13,15,28
201,20104,2013,56,38,94
201,20105,2013,49,36,85
201,20106,2013,20,26,46
201,20107,2013,18,10,28
201,20108,2013,50,23,73
201,20109,2013,28,29,57
201,20110,2013,56,58,114
201,20111,2013,25,28,53
201,20112,2013,31,23,54
