cod_canton,cod_distrito,pob_total_2011,pob_mujer_2011,pob_hombre_2011,por_0a14anhos_2011,por_15a65anhos_2011,por_mayor65anhos_2011,edad_media_2011,por_poburbana_2011,prom_hijos_2011,por_mujfertil_2011,por_madres_2011,por_madres_solteras_2011,por_madres_adolescentes_2011,poblacion_total_2022,pob_hombre_2022,pob_mujer_2022,cambio_mujer_porcent,cambio_hombre_porcent,cambio_total_porcent,cambio_mujer_absoluto,cambio_hombre_absoluto,cambio_total_absoluto
101,10101,2702,1521,1181,10,68.1,21.9,44,100,1.7,44.4,60.2,11.3,5.6,2759,1280,1479,-2.76,8.38,2.11,-42.00,99,57
101,10102,12257,6371,5886,21.2,68.8,10,33.7,100,2.1,54.2,71.5,19.5,2.1,15804,7479,8325,30.67,27.06,28.94,1954.00,1593,3547
101,10103,19270,9906,9364,21.7,68,10.4,33.7,100,2.2,52.1,70.5,19.1,8.1,25619,12259,13360,34.87,30.92,32.95,3454.00,2895,6349
101,10104,12936,6836,6100,17,68.6,14.4,37.7,100,1.9,49.6,66.9,16.8,3.9,14355,6491,7864,15.04,6.41,10.97,1028.00,391,1419
101,10105,18679,9989,8690,16.8,69.3,13.9,37.5,100,1.9,50.1,65.5,14.1,1.7,19684,8760,10924,9.36,0.81,5.38,935.00,70,1005
101,10106,20209,10774,9435,16.4,71.4,12.2,37.1,100,1.8,51.6,66.1,13,1.6,21682,10416,11266,4.57,10.40,7.29,492.00,981,1473
101,10107,31728,16434,15294,28.4,66.2,5.4,28.5,100,2.3,56.1,70.1,15.8,6.7,46829,22071,24758,50.65,44.31,47.60,8324.00,6777,15101
101,10108,8313,4587,3726,14.9,68.7,16.4,38.7,100,1.7,51.8,63.2,13.3,2.5,11491,5351,6140,33.86,43.61,38.23,1553.00,1625,3178
101,10109,71384,37506,33878,23.6,68.6,7.8,31.7,100,2.2,54.6,71.2,16.2,5.8,83573,41152,42421,13.10,21.47,17.08,4915.00,7274,12189
101,10110,50511,26756,23755,21.7,68.1,10.2,33.9,100,2.3,51.5,72.7,18.3,4,60363,29345,31018,15.93,23.53,19.50,4262.00,5590,9852
101,10111,40065,21003,19062,21,69.8,9.1,33.6,100,2.1,53.6,70.6,16,3.6,50222,24213,26009,23.83,27.02,25.35,5006.00,5151,10157
102,10201,11984,6454,5530,20.1,68.9,11,35.2,100,2,52.7,67.4,14.7,2.6,12590,5997,6593,2.15,8.44,5.06,139.00,467,606
102,10202,22554,11561,10993,22.2,70.7,7.1,32,98.2,2.1,57,69,14.3,3.7,26549,12542,14007,21.16,14.09,17.71,2446.00,1549,3995
102,10203,21971,11834,10137,19.6,71,9.4,34.9,100,1.8,55.7,67.8,11.3,2.1,32361,15384,16977,43.46,51.76,47.29,5143.00,5247,10390
103,10301,33866,17819,16047,20.4,70.4,9.2,33.9,100,2.1,53.7,69.6,15.9,3.1,31783,15064,16719,-6.17,-6.13,-6.15,-1100.00,-983,-2083
103,10302,31805,16337,15468,24.3,69.5,6.2,30.7,95,2.2,57.3,69.1,13.7,3.2,38194,18251,19943,22.07,17.99,20.09,3606.00,2783,6389
103,10303,19481,10185,9296,25.8,68.6,5.7,29.9,100,2.2,57.1,70.8,16.4,4.6,19583,9394,10189,0.04,1.05,0.52,4.00,98,102
103,10304,15262,8190,7072,22.5,71.5,6,31.4,100,2.1,59.4,70.5,16.4,3.9,24008,11297,12711,55.20,59.74,57.31,4521.00,4225,8746
103,10305,9727,5117,4610,18.5,71.2,10.3,35.3,100,1.9,54.1,67.9,12.2,3.4,9360,4395,4965,-2.97,-4.66,-3.77,-152.00,-215,-367
103,10306,3772,1846,1926,24.6,68.3,7.1,31.7,13,2.4,54.8,67.6,11,2,4111,2022,2089,13.16,4.98,8.99,243.00,96,339
103,10307,11921,6061,5860,26,68.6,5.4,29.7,86.8,2.2,58.3,71.6,12.5,4.5,12756,6140,6616,9.16,4.78,7.00,555.00,280,835
103,10308,3905,1985,1920,27.3,66.4,6.4,30.2,0,2.5,54,69.5,11.2,4.3,4755,2290,2465,24.18,19.27,21.77,480.00,370,850
103,10309,3088,1557,1531,26.1,67.7,6.1,30.4,0,2.5,56.2,73.2,10.6,5.7,3465,1692,1773,13.87,10.52,12.21,216.00,161,377
